dataset,seed,C,alpha,train_accuracy,val_accuracy,test_accuracy,train_f1_weighted,val_f1_weighted,test_f1_weighted,train_val_gap,train_test_gap,coef_l2_norm
sklearn_wine,7,0.0001,10000.0,0.4032258064516129,0.4074074074074074,0.37037037037037035,0.23173896922506487,0.23586744639376217,0.20020020020020018,-0.004181600955794507,0.03285543608124253,0.016391670114989126
sklearn_wine,7,0.0003,3333.3333333333335,0.4032258064516129,0.4074074074074074,0.37037037037037035,0.23173896922506487,0.23586744639376217,0.20020020020020018,-0.004181600955794507,0.03285543608124253,0.047788806773453305
sklearn_wine,7,0.001,1000.0,0.7419354838709677,0.7407407407407407,0.7407407407407407,0.7298579868004833,0.7256613756613756,0.7065924312111675,0.0011947431302270495,0.0011947431302270495,0.1447811211274433
sklearn_wine,7,0.003,333.3333333333333,0.967741935483871,0.9259259259259259,0.8888888888888888,0.967840876967051,0.9243827160493827,0.8897549357907415,0.041816009557945066,0.07885304659498216,0.34522305178182083
sklearn_wine,7,0.01,100.0,0.9919354838709677,1.0,1.0,0.991954936947715,1.0,1.0,-0.008064516129032251,-0.008064516129032251,0.7048841193083273
sklearn_wine,7,0.03,33.333333333333336,0.9919354838709677,1.0,1.0,0.991954936947715,1.0,1.0,-0.008064516129032251,-0.008064516129032251,1.1317611523531141
sklearn_wine,7,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.7074108469898777
sklearn_wine,7,0.3,3.3333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.356742406210624
sklearn_wine,7,1.0,1.0,1.0,1.0,0.9259259259259259,1.0,1.0,0.9259259259259259,0.0,0.07407407407407407,3.222458368232128
sklearn_wine,7,3.0,0.3333333333333333,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,4.145043535905227
sklearn_wine,7,10.0,0.1,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,5.28959347171846
sklearn_wine,7,30.0,0.03333333333333333,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,6.474444138291689
sklearn_wine,7,100.0,0.01,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,7.45369749671589
sklearn_wine,7,300.0,0.0033333333333333335,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,8.521571690582125
sklearn_wine,7,1000.0,0.001,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,8.98470082230754
sklearn_wine,21,0.0001,10000.0,0.4032258064516129,0.4074074074074074,0.37037037037037035,0.23173896922506487,0.23586744639376217,0.20020020020020018,-0.004181600955794507,0.03285543608124253,0.016845934908963654
sklearn_wine,21,0.0003,3333.3333333333335,0.4112903225806452,0.4074074074074074,0.37037037037037035,0.24882350851957416,0.23586744639376217,0.20020020020020018,0.0038829151732377998,0.040919952210274835,0.04905382765509534
sklearn_wine,21,0.001,1000.0,0.75,0.7407407407407407,0.7037037037037037,0.7307511646028207,0.7312899106002554,0.6928330928330929,0.0092592592592593,0.04629629629629628,0.1480251589222552
sklearn_wine,21,0.003,333.3333333333333,0.9919354838709677,0.8518518518518519,0.9629629629629629,0.9919256262543817,0.853332216077314,0.9626102292768961,0.1400836320191159,0.02897252090800484,0.3500947684124736
sklearn_wine,21,0.01,100.0,1.0,0.8518518518518519,0.9259259259259259,1.0,0.8518518518518519,0.9256660168940871,0.14814814814814814,0.07407407407407407,0.7073331886604449
sklearn_wine,21,0.03,33.333333333333336,1.0,0.8888888888888888,0.9629629629629629,1.0,0.8874779541446208,0.9629629629629629,0.11111111111111116,0.03703703703703709,1.1276372441625082
sklearn_wine,21,0.1,10.0,1.0,0.9259259259259259,1.0,1.0,0.926071169208424,1.0,0.07407407407407407,0.0,1.687937932029284
sklearn_wine,21,0.3,3.3333333333333335,1.0,0.9259259259259259,1.0,1.0,0.9259259259259259,1.0,0.07407407407407407,0.0,2.3080337569152567
sklearn_wine,21,1.0,1.0,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,3.128844037508135
sklearn_wine,21,3.0,0.3333333333333333,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,4.006230566213058
sklearn_wine,21,10.0,0.1,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9629629629629629,0.07407407407407407,0.03703703703703709,5.104686599245462
sklearn_wine,21,30.0,0.03333333333333333,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,6.236560139184509
sklearn_wine,21,100.0,0.01,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,7.327563364965014
sklearn_wine,21,300.0,0.0033333333333333335,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,8.011767092452585
sklearn_wine,21,1000.0,0.001,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,8.355993613988904
sklearn_wine,42,0.0001,10000.0,0.4032258064516129,0.37037037037037035,0.4074074074074074,0.23173896922506487,0.20020020020020018,0.23586744639376217,0.03285543608124253,-0.004181600955794507,0.01643412555777408
sklearn_wine,42,0.0003,3333.3333333333335,0.4032258064516129,0.37037037037037035,0.4074074074074074,0.23173896922506487,0.20020020020020018,0.23586744639376217,0.03285543608124253,-0.004181600955794507,0.04791032453271881
sklearn_wine,42,0.001,1000.0,0.7338709677419355,0.9259259259259259,0.6666666666666666,0.7054927780734231,0.9269690367729585,0.6206093189964158,-0.19205495818399043,0.06720430107526887,0.14513826944293798
sklearn_wine,42,0.003,333.3333333333333,0.9919354838709677,0.9629629629629629,0.8888888888888888,0.9919256262543817,0.9627554725593941,0.8882933914306463,0.02897252090800484,0.10304659498207891,0.346080866982929
sklearn_wine,42,0.01,100.0,0.9919354838709677,1.0,1.0,0.991954936947715,1.0,1.0,-0.008064516129032251,-0.008064516129032251,0.7062023070075624
